SWV ITM Data Console - ITM Port: 0
,0.0113,-0.008
1,0.0097,-0.008
2,0.0113,0.000
3,0.0113,0.000
3,0.0113,-0.002
4,0.0097,-0.002
5,0.0097,-0.008
5,0.0097,-0.006
6,0.0097,-0.006
7,0.0113,-0.012
7,0.0097,-0.006
8,0.0113,-0.006
9,0.0097,-0.010
9,0.0097,-0.004
10,0.0097,-0.004
11,0.0113,-0.006
12,0.0097,-0.006
12,0.0113,-0.006
13,0.0097,-0.006
14,0.0113,-0.006
14,0.0097,-0.010
15,0.0097,-0.002
16,0.0113,-0.002
16,0.0097,-0.004
17,0.0113,-0.004
18,0.0113,-0.006
19,0.0097,-0.008
19,0.0097,-0.008
20,0.0097,-0.012
21,0.0097,-0.012
21,0.0097,-0.012
22,0.0113,-0.008
23,0.0113,-0.006
23,0.0097,-0.006
24,0.0097,0.000
25,0.0097,0.000
26,0.0113,-0.006
26,0.0097,-0.006
27,0.0113,-0.006
28,0.0097,-0.002
28,0.0097,-0.002
29,0.0097,-0.002
30,0.0097,-0.006
30,0.0097,-0.002
31,0.0113,-0.002
32,0.0113,-0.008
33,0.0113,-0.008
33,0.0097,-0.002
34,0.0113,-0.002
35,0.0097,-0.002
35,0.0097,-0.002
36,0.0113,-0.006
37,0.0113,-0.006
37,0.0097,-0.002
38,0.0113,-0.006
39,0.0097,-0.006
40,0.0097,-0.008
40,0.0097,-0.008
41,0.0097,-0.004
42,0.0097,-0.008
42,0.0097,-0.008
43,0.0097,-0.010
44,0.0113,-0.008
44,0.0097,-0.008
45,0.0113,-0.002
46,0.0097,0.000
47,0.0097,0.000
47,0.0113,-0.006
48,0.0097,-0.006
49,0.0097,-0.002
49,0.0113,-0.006
50,0.0097,-0.006
51,0.0113,-0.012
51,0.0097,-0.006
52,0.0097,-0.006
53,0.0113,-0.006
53,0.0097,-0.006
54,0.0113,-0.006
55,0.0113,-0.010
56,0.0113,-0.010
56,0.0113,-0.006
57,0.0113,0.000
58,0.0113,0.000
58,0.0097,-0.004
59,0.0097,-0.004
60,0.0113,-0.010
60,0.0113,-0.008
61,0.0097,-0.008
62,0.0113,-0.010
63,0.0097,-0.006
63,0.0113,-0.006
64,0.0113,-0.006
65,0.0113,-0.006
65,0.0097,-0.006
66,0.0097,-0.004
67,0.0097,-0.004
67,0.0097,-0.006
68,0.0097,-0.006
69,0.0097,-0.006
70,0.0097,-0.008
70,0.0113,-0.008
71,0.0113,-0.008
72,0.0097,-0.010
72,0.0113,-0.002
73,0.0097,-0.002
74,0.0097,-0.002
74,0.0113,-0.002
75,0.0097,-0.006
76,0.0097,-0.002
77,0.0097,-0.002
77,0.0097,-0.008
78,0.0113,-0.008
79,0.0097,-0.008
79,0.0097,-0.004
80,0.0097,-0.006
81,0.0113,-0.006
81,0.0097,-0.006
82,0.0097,-0.006
83,0.0113,-0.006
84,0.0097,-0.006
84,0.0113,-0.006
85,0.0097,-0.010
86,0.0113,0.004
86,0.0097,0.004
87,0.0097,-0.002
88,0.0113,-0.002
88,0.0113,-0.002
89,0.0097,-0.010
90,0.0097,-0.010
91,0.0097,0.000
91,0.0113,-0.010
92,0.0097,-0.010
93,0.0113,-0.010
93,0.0097,0.000
94,0.0097,0.000
95,0.0097,-0.006
95,0.0113,-0.006
96,0.0113,-0.010
97,0.0113,-0.012
98,0.0113,-0.012
98,0.0097,-0.006
99,0.0097,-0.004
100,0.0097,-0.004
100,0.0097,-0.008
101,0.0113,-0.006
102,0.0113,-0.006
102,0.0097,-0.006
103,0.0097,-0.006
104,0.0113,-0.004
105,0.0113,-0.006
105,0.0113,-0.006
106,0.0113,-0.010
107,0.0113,-0.004
107,0.0097,-0.004
108,0.0113,0.000
109,0.0097,-0.002
110,0.0097,-0.002
110,0.0113,-0.008
111,0.0113,-0.008
112,0.0113,-0.008
112,0.0097,0.002
113,0.0097,0.002
114,0.0097,-0.006
115,0.0097,-0.006
115,0.0097,-0.006
116,0.0097,-0.006
117,0.0097,-0.006
117,0.0113,-0.006
118,0.0097,-0.002
119,0.0097,-0.006
120,0.0113,-0.006
120,0.0097,-0.012
121,0.0097,-0.010
122,0.0097,-0.010
122,0.0097,-0.004
123,0.0097,-0.004
124,0.0113,-0.004
124,0.0097,-0.002
125,0.0097,-0.002
126,0.0097,-0.008
127,0.0097,-0.010
127,0.0097,-0.010
128,0.0097,-0.002
129,0.0097,-0.002
129,0.0097,-0.002
130,0.0113,-0.010
131,0.0097,-0.008
132,0.0113,-0.008
132,0.0097,0.000
133,0.0113,-0.008
134,0.0097,-0.008
134,0.0097,-0.006
135,0.0097,-0.006
136,0.0113,-0.006
137,0.0113,-0.006
137,0.0097,-0.006
138,0.0113,-0.004
139,0.0113,-0.010
139,0.0097,-0.010
140,0.0097,-0.006
141,0.0113,-0.006
142,0.0097,-0.006
142,0.0097,-0.006
